datetime,location,lat,lon,pm1,pm10,pm25,relativehumidity,temperature,um003,pm25_zscore,temperature_zscore,relativehumidity_zscore
2025-01-04T04:00:00-05:00,Charlotte-1224494,35.23,-80.84,,1.21,3.12,33.89,2.46,178.62,-0.19,-1.72,-0.9
2025-01-04T04:00:00-05:00,Charlotte-2490581,35.23,-80.84,1.33,,0.08,45.16,10.87,,-1.18,-0.01,0.02
2025-01-04T05:00:00-05:00,Charlotte-1224494,35.23,-80.84,,3.17,3.12,34.89,2.23,400.0,-0.19,-1.77,-0.82
2025-01-04T05:00:00-05:00,Charlotte-2490581,35.23,-80.84,3.42,,1.21,45.16,10.87,,-0.81,-0.01,0.02
2025-01-04T06:00:00-05:00,Charlotte-2490581,35.23,-80.84,1.08,,0.04,45.16,10.87,,-1.19,-0.01,0.02
2025-01-04T06:00:00-05:00,Charlotte-1224494,35.23,-80.84,,1.0,3.12,36.9,1.65,168.5,-0.19,-1.89,-0.65
2025-01-04T07:00:00-05:00,Charlotte-2490581,35.23,-80.84,1.29,,0.21,45.16,10.87,,-1.14,-0.01,0.02
2025-01-04T07:00:00-05:00,Charlotte-1224494,35.23,-80.84,,1.21,3.12,37.53,1.55,197.25,-0.19,-1.91,-0.6
2025-01-04T08:00:00-05:00,Charlotte-2490581,35.23,-80.84,1.86,,0.5,45.16,10.87,,-1.04,-0.01,0.02
2025-01-04T08:00:00-05:00,Charlotte-1224494,35.23,-80.84,,1.82,3.12,37.92,1.65,246.95,-0.19,-1.89,-0.57
2025-01-04T09:00:00-05:00,Charlotte-1224494,35.23,-80.84,,1.36,3.12,36.92,2.0,175.5,-0.19,-1.82,-0.65
2025-01-04T09:00:00-05:00,Charlotte-2490581,35.23,-80.84,1.41,,0.09,45.16,10.87,,-1.18,-0.01,0.02
2025-01-04T10:00:00-05:00,Charlotte-2490581,35.23,-80.84,1.83,,0.12,45.16,10.87,,-1.17,-0.01,0.02
2025-01-04T10:00:00-05:00,Charlotte-1224494,35.23,-80.84,,1.54,3.12,33.3,4.09,193.5,-0.19,-1.39,-0.95
2025-01-04T11:00:00-05:00,Charlotte-2490581,35.23,-80.84,1.83,,0.46,45.16,10.87,,-1.06,-0.01,0.02
2025-01-04T11:00:00-05:00,Charlotte-1224494,35.23,-80.84,,1.67,3.12,21.43,13.64,261.25,-0.19,0.55,-1.91
2025-01-04T12:00:00-05:00,Charlotte-1224494,35.23,-80.84,,1.62,3.12,14.97,16.2,252.75,-0.19,1.07,-2.44
2025-01-04T12:00:00-05:00,Charlotte-2490581,35.23,-80.84,1.67,,0.42,45.16,10.87,,-1.07,-0.01,0.02
2025-01-04T13:00:00-05:00,Charlotte-2490581,35.23,-80.84,1.62,,0.42,45.16,10.87,,-1.07,-0.01,0.02
2025-01-04T13:00:00-05:00,Charlotte-1224494,35.23,-80.84,,1.54,3.12,13.05,16.5,237.0,-0.19,1.13,-2.6
2025-01-04T14:00:00-05:00,Charlotte-2490581,35.23,-80.84,1.29,,0.17,45.16,10.87,,-1.15,-0.01,0.02
2025-01-04T14:00:00-05:00,Charlotte-1224494,35.23,-80.84,,1.25,3.12,14.01,12.03,198.12,-0.19,0.23,-2.52
2025-01-04T15:00:00-05:00,Charlotte-1224494,35.23,-80.84,,0.88,3.12,14.47,10.45,169.25,-0.19,-0.1,-2.48
2025-01-04T15:00:00-05:00,Charlotte-2490581,35.23,-80.84,0.92,,0.12,45.16,10.87,,-1.17,-0.01,0.02
2025-01-04T16:00:00-05:00,Charlotte-2490581,35.23,-80.84,1.58,,0.42,45.16,10.87,,-1.07,-0.01,0.02
2025-01-04T16:00:00-05:00,Charlotte-1224494,35.23,-80.84,,1.54,3.12,16.44,8.82,231.12,-0.19,-0.43,-2.32
2025-01-04T17:00:00-05:00,Charlotte-2490581,35.23,-80.84,1.79,,0.54,45.16,10.87,,-1.03,-0.01,0.02
2025-01-04T17:00:00-05:00,Charlotte-1224494,35.23,-80.84,,1.75,3.12,18.18,8.41,245.62,-0.19,-0.51,-2.18
2025-01-04T18:00:00-05:00,Charlotte-1224494,35.23,-80.84,,3.25,3.12,19.88,7.17,367.12,-0.19,-0.76,-2.04
2025-01-04T18:00:00-05:00,Charlotte-2490581,35.23,-80.84,3.42,,1.29,45.16,10.87,,-0.79,-0.01,0.02
2025-01-04T19:00:00-05:00,Charlotte-2490581,35.23,-80.84,6.12,,2.88,45.16,10.87,,-0.27,-0.01,0.02
2025-01-04T19:00:00-05:00,Charlotte-1224494,35.23,-80.84,,5.71,3.12,23.51,5.83,567.25,-0.19,-1.04,-1.74
2025-01-04T20:00:00-05:00,Charlotte-2490581,35.23,-80.84,5.5,,2.5,45.16,10.87,,-0.39,-0.01,0.02
2025-01-04T20:00:00-05:00,Charlotte-1224494,35.23,-80.84,,5.42,3.12,28.97,4.43,531.75,-0.19,-1.32,-1.3
2025-01-04T21:00:00-05:00,Charlotte-2490581,35.23,-80.84,11.38,,6.33,45.16,10.87,,0.86,-0.01,0.02
2025-01-04T21:00:00-05:00,Charlotte-1224494,35.23,-80.84,,10.5,3.12,33.37,3.41,969.62,-0.19,-1.53,-0.94
2025-01-04T22:00:00-05:00,Charlotte-2490581,35.23,-80.84,15.88,,9.33,45.16,10.87,,1.84,-0.01,0.02
2025-01-04T22:00:00-05:00,Charlotte-1224494,35.23,-80.84,,14.88,3.12,37.12,2.82,1361.25,-0.19,-1.65,-0.64
2025-01-04T23:00:00-05:00,Charlotte-1224494,35.23,-80.84,,16.04,3.12,39.87,2.75,1428.75,-0.19,-1.66,-0.41
2025-01-04T23:00:00-05:00,Charlotte-2490581,35.23,-80.84,16.79,,9.79,45.16,10.87,,1.99,-0.01,0.02
2025-01-05T00:00:00-05:00,Charlotte-1224494,35.23,-80.84,,16.38,3.12,42.75,2.06,1412.5,-0.19,-1.8,-0.18
2025-01-05T00:00:00-05:00,Charlotte-2490581,35.23,-80.84,16.92,,9.96,45.16,10.87,,2.04,-0.01,0.02
2025-01-05T01:00:00-05:00,Charlotte-1224494,35.23,-80.84,,13.21,3.12,43.32,1.56,1211.0,-0.19,-1.9,-0.13
2025-01-05T01:00:00-05:00,Charlotte-2490581,35.23,-80.84,13.54,,8.21,45.16,10.87,,1.47,-0.01,0.02
2025-01-05T02:00:00-05:00,Charlotte-1224494,35.23,-80.84,,17.54,3.12,45.45,1.17,1489.25,-0.19,-1.98,0.04
2025-01-05T02:00:00-05:00,Charlotte-2490581,35.23,-80.84,18.38,,10.38,45.16,10.87,,2.18,-0.01,0.02
